SNo,Date,Symbol,Segment,EntryAt,Signal,Rate,QTY,TGT,SL,Cycle,ExitAt,Closure,ExitRate,Open,High,Low,Close,PP,PR,PS,NewPR,NewPS,LowWick,UpWick,Body,CandleColor,CandleType,SumBody,SMA21,SumClose,AlgoName,TSLFlag
1,09-01-2023,ADANIPORTS,NSECM,10.22.05,BUY,820.0375,133,828.893905,815.6092975,29,11.18.05,SL,nil,819.75,820.2,819.55,820.2,817.9942529,826.8285908,809.1599149,828.893905,,,,,,,,,,Algo1.1,
2,09-01-2023,BHARTIARTL,NSECM,11.49.05,BUY,820.7625,122,829.626735,816.3303825,58,12.24.05,SL,nil,820.3,820.95,820.3,820.9,818.7982759,827.6412972,809.9552545,829.626735,,,,,,,,,,Algo1.1,
3,09-01-2023,LUPIN,NSECM,09.53.05,BUY,749.7875,122,757.885205,745.7386475,145,12.42.05,SL,nil,750.15,750.65,749.5,749.5,747.5011494,755.5741618,739.428137,757.885205,,,,,,,,,,Algo1.1,
4,09-01-2023,PVR,NSECM,14.15.05,BUY,1677.675,165,1686.063375,1673.480813,174,14.34.05,SL,nil,1676.7,1678,1676.7,1678,1676.277011,1684.658397,1667.895626,1686.063375,,,,,,,,,,Algo1.1,
5,09-01-2023,UPL,NSECM,14.14.05,BUY,727.8125,137,735.672875,723.8823125,290,15.10.05,TGT,nil,727.6,727.9,727.55,727.9,725.9862069,733.8268579,718.1455559,735.672875,,,,,,,,,,Algo1.1,
6,09-01-2023,HDFCLIFE,NSECM,12.18.06,SELL,606.9125,60,600.357845,610.1898275,290,15.18.05,EXIT,608.4,607.15,607.15,606.7,606.9,608.5143678,615.086323,601.9424126,,600.357845,,,,,,,,,Algo1.1,
7,10-01-2023,ADANIPORTS,NSECM,11.11.02,SELL,811.8375,130,803.069655,816.2214225,58,12.38.02,TGT,nil,812.6,812.75,811.5,811.55,813.1505747,821.9326009,804.3685485,,803.069655,,,,,,,,,Algo1.1,
8,10-01-2023,TATACONSUM,NSECM,10.13.02,BUY,770.6625,123,778.985655,766.5009225,116,12.51.02,SL,nil,770.8,770.8,770.55,770.65,768.8465517,777.1500945,760.543009,778.985655,,,,,,,,,,Algo1.1,
9,10-01-2023,LUPIN,NSECM,14.05.03,BUY,757.35,132,765.52938,753.26031,290,15.18.03,EXIT,758.95,757.3,757.55,756.75,757.55,755.8448276,764.0079517,747.6817034,765.52938,,,,,,,,,,Algo1.1,
10,11-01-2023,PVR,NSECM,12.09.02,SELL,1688.75,59,1680.30625,1692.971875,174,13.07.02,SL,nil,1690,1690.1,1688.3,1688.3,1690.321839,1698.773448,1681.87023,,1680.30625,,,,,,,,,Algo1.1,
11,13-01-2023,TECHM,NSECM,10.13.01,BUY,992.0375,100,1002.751505,986.6804975,58,10.30.02,SL,nil,992.5,992.5,991.65,992,990.0270115,1000.719303,979.3347198,1002.751505,,,,,,,,,,Algo1.1,
12,13-01-2023,TVSMOTOR,NSECM,11.40.01,SELL,995.5375,132,984.785695,1000.913403,87,12.39.02,SL,nil,995.15,996,994.15,996,997.937931,1008.715661,987.1602014,,984.785695,,,,,,,,,Algo1.1,
13,13-01-2023,BHARTIARTL,NSECM,10.42.02,SELL,755.1625,126,747.006745,759.2403775,87,12.43.02,SL,nil,754.85,755.55,754.5,755.3,757.216092,765.3940257,749.0381582,,747.006745,,,,,,,,,Algo1.1,
14,13-01-2023,PVR,NSECM,11.40.02,BUY,1740.4875,100,1749.189938,1736.136281,145,12.44.03,SL,nil,1740.8,1741,1739.95,1740.5,1738.827586,1747.521724,1730.133448,1749.189938,,,,,,,,,,Algo1.1,
15,13-01-2023,ADANIPORTS,NSECM,10.42.02,BUY,790.2875,57,798.822605,786.0199475,145,13.53.03,TGT,nil,790.1,790.45,790.1,790.3,788.1965517,796.7090745,779.684029,798.822605,,,,,,,,,,Algo1.1,
16,13-01-2023,CHOLAFIN,NSECM,13.07.02,SELL,707.1,132,699.46332,710.91834,174,14.40.01,SL,nil,707.4,707.65,706.65,707.05,708.6867816,716.3405989,701.0329644,,699.46332,,,,,,,,,Algo1.1,
17,13-01-2023,TATACONSUM,NSECM,12.09.02,BUY,752.7125,141,760.841795,748.6478525,232,15.18.02,EXIT,752.95,752.3,752.85,752.3,752.85,750.8534483,758.9626655,742.744231,760.841795,,,,,,,,,,Algo1.1,
18,13-01-2023,LUPIN,NSECM,13.07.02,BUY,755.2,132,763.35616,751.12192,232,15.18.03,EXIT,755.65,755.2,755.2,755.2,755.2,753.4971264,761.6348954,745.3593575,763.35616,,,,,,,,,,Algo1.1,
19,16-01-2023,JSWSTEEL,NSECM,09.50.04,SELL,754.825,133,746.67289,758.901055,29,10.38.04,SL,nil,755.25,755.25,754.45,754.8,756.7643678,764.937423,748.5913126,,746.67289,,,,,,,,,Algo1.1,
20,16-01-2023,PVR,NSECM,10.19.06,SELL,1718.9125,132,1710.317938,1723.209781,29,10.55.06,TGT,nil,1718.5,1719.15,1718.4,1719.05,1720.793678,1729.397647,1712.18971,,1710.317938,,,,,,,,,Algo1.1,
21,16-01-2023,LUPIN,NSECM,10.19.06,SELL,750.6,133,742.49352,754.65324,58,14.54.05,SL,nil,750.7,750.9,750.5,750.5,752.116092,760.2389457,743.9932382,,742.49352,,,,,,,,,Algo1.1,
22,16-01-2023,CHOLAFIN,NSECM,14.11.04,SELL,692.1,58,684.62532,695.83734,58,15.18.04,EXIT,690.55,692.25,692.95,691.75,691.85,693.645977,701.1373536,686.1546005,,684.62532,,,,,,,,,Algo1.1,
23,16-01-2023,TATACONSUM,NSECM,09.50.04,SELL,750.2375,127,742.134935,754.2887825,58,15.18.04,EXIT,747,750.5,750.65,750.1,750.1,752.0505747,760.1727209,743.9284285,,742.134935,,,,,,,,,Algo1.1,
24,16-01-2023,ADANIPORTS,NSECM,10.19.06,SELL,789.8,144,781.27016,794.06492,290,15.18.05,EXIT,786.45,789.5,790,789.3,789.95,791.6982759,800.2486172,783.1479345,,781.27016,,,,,,,,,Algo1.1,
25,17-01-2023,TVSMOTOR,NSECM,10.12.03,BUY,985.075,101,995.71381,979.755595,57,11.05.02,SL,nil,984.45,985.5,984.2,985.3,983.0590643,993.6761022,972.4420264,995.71381,,,,,,,,,,Algo1.1,
26,17-01-2023,ADANIPORTS,NSECM,10.40.03,BUY,789.85,133,798.38038,785.58481,57,12.24.02,SL,nil,790,790,789.7,789.85,787.7952941,796.3034833,779.2871049,798.38038,,,,,,,,,,Algo1.1,
27,17-01-2023,JSWSTEEL,NSECM,10.12.03,SELL,759.35,131,751.14902,763.45049,57,12.55.02,TGT,nil,760,760,759.1,759.15,761.0131579,769.2321,752.7942158,,751.14902,,,,,,,,,Algo1.1,
28,17-01-2023,BHARTIARTL,NSECM,13.28.03,SELL,760.875,126,752.65755,764.983725,85,13.49.05,SL,nil,760.3,761.2,760.3,761,762.7293149,770.9667915,754.4918383,,752.65755,,,,,,,,,Algo1.1,
29,17-01-2023,TATACONSUM,NSECM,12.04.02,SELL,745.3,134,737.25076,749.32462,169,15.08.03,SL,nil,745.4,745.4,745,745.4,747.0482249,755.1163457,738.980104,,737.25076,,,,,,,,,Algo1.1,
30,17-01-2023,LUPIN,NSECM,10.12.03,SELL,751.2125,131,743.099405,755.2690475,253,15.18.02,EXIT,754.5,751.4,751.55,751.1,751.1,752.8324561,760.9630467,744.7018656,,743.099405,,,,,,,,,Algo1.1,
31,18-01-2023,TVSMOTOR,NSECM,10.40.03,SELL,994.4125,101,983.672845,1000.856293,85,12.36.05,SL,nil,993.7,994.65,993.7,994.65,997.0843137,1007.852824,986.3158031,,983.672845,,,,,,,,,Algo1.1,
